fie_season,weapon,gender,category,rho,pvalue,rho_ts,pvalue_ts,rho2,pvalue2,n_fencers
2025/2026,Foil,Womens,Junior,0.763,1.45674748220411e-39,0.726,3.418803320644549e-34,0.9487,1.8686779057796337e-101,201
2014/2015,Foil,Womens,Senior,0.7854,3.423860861226556e-91,0.7073,1.888143353661739e-66,0.9583,6.798186269396984e-235,430
2015/2016,Foil,Womens,Senior,0.8622,9.125193512698912e-129,0.8182,3.484122406917239e-105,0.9592,1.5859276815303765e-237,431
2016/2017,Foil,Womens,Senior,0.8438,1.6706722678753504e-124,0.8111,1.4058256570102564e-107,0.96,1.3686975048557468e-252,455
2017/2018,Foil,Womens,Senior,0.8568,4.815278371937628e-156,0.8115,5.9827852586596284e-127,0.9678,0.0,537
2018/2019,Foil,Womens,Senior,0.8682,4.5167132355049196e-160,0.8488,9.532661444589132e-146,0.9575,2.3203095109568958e-282,521
2019/2020,Foil,Womens,Senior,0.8004,7.396739649073366e-102,0.818,6.646559090385612e-110,0.9641,9.391623603277208e-261,451
2020/2021,Foil,Womens,Senior,0.5187,2.1157591691381723e-12,0.4697,3.7170259326092653e-10,0.8938,6.628625905558925e-57,160
2021/2022,Foil,Womens,Senior,0.8691,4.040594666279492e-142,0.8361,1.5948514492478647e-121,0.9623,4.7549452169509445e-261,460
2022/2023,Foil,Womens,Senior,0.8827,1.0897094085677191e-191,0.8533,1.421622792686397e-165,0.9687,0.0,580
2023/2024,Foil,Womens,Senior,0.8895,1.431471663631921e-219,0.8478,3.3251187516456386e-178,0.9617,0.0,641
2024/2025,Foil,Womens,Senior,0.8726,1.5171716693016802e-226,0.8425,7.412543216045586e-196,0.9507,0.0,723
2025/2026,Foil,Womens,Senior,0.8238,5.867008128807975e-177,0.7943,1.310967269868812e-155,0.9536,0.0,711
2015/2016,Foil,Womens,Veterans,0.9106,2.3873016895416802e-29,0.9113,1.8239767591738222e-29,0.9346,4.892796703291612e-34,74
2016/2017,Foil,Womens,Veterans,0.8672,2.9821949910233386e-26,0.8851,1.2179181948098338e-28,0.861,1.7070578055277999e-25,83
2023/2024,Foil,Womens,Veterans,0.648,8.79834407740558e-12,0.7508,3.694098971230966e-17,0.8406,1.2934242630866474e-24,88
2024/2025,Foil,Womens,Veterans,0.6765,2.696350359761485e-16,0.795,1.2569364237011093e-25,0.8608,4.753976195379893e-34,112
2015/2016,Sabre,Mens,Cadet,0.8998,4.926270919103441e-06,0.9571,2.2736751556259772e-08,0.9338,3.622136870801889e-07,15
2016/2017,Sabre,Mens,Cadet,0.9421,1.634715447177821e-08,0.9534,3.2849947662852595e-09,0.9347,3.939561439903776e-08,17
2017/2018,Sabre,Mens,Cadet,0.9464,8.946591918861653e-12,0.9417,2.1126675899307013e-11,0.9106,1.6294452042235084e-09,23
2018/2019,Sabre,Mens,Cadet,0.9532,1.9487248123240734e-13,0.9646,8.218109934217622e-15,0.9566,8.180480617284062e-14,25
2020/2021,Sabre,Mens,Cadet,-0.1099,0.7208097995138618,0.2582,0.3942840173973614,0.7967,0.001113652652268588,13
2024/2025,Sabre,Mens,Cadet,0.8924,3.508518482572845e-11,0.9398,1.3835491861546079e-14,0.8874,6.414606618356668e-11,30
2025/2026,Sabre,Mens,Cadet,0.8657,4.555662592361954e-52,0.8785,1.8787537601286076e-55,0.9397,1.0136280561529993e-79,169
2014/2015,Sabre,Mens,Junior,0.668,2.6458951653716406e-19,0.6501,4.770218489438071e-18,0.9443,5.4232968275146735e-68,139
2015/2016,Sabre,Mens,Junior,0.7462,1.6485586888038249e-26,0.7209,4.72623913622452e-24,0.9374,5.253660943949412e-66,142
2016/2017,Sabre,Mens,Junior,0.7626,3.957548303828282e-31,0.7661,1.4507719624154637e-31,0.9447,5.676064466057148e-77,157
2017/2018,Sabre,Mens,Junior,0.7957,2.3477704697682365e-35,0.7433,1.1111346475670605e-28,0.9547,6.09123310314897e-83,156
2018/2019,Sabre,Mens,Junior,0.77,4.534481028394154e-31,0.7918,6.204180406649742e-34,0.9205,4.19791631913596e-63,152
2019/2020,Sabre,Mens,Junior,0.8217,1.6785696108579255e-35,0.8107,6.746593402782231e-34,0.9296,1.0971577539115759e-61,140
2020/2021,Sabre,Mens,Junior,0.8082,0.0008272025927444455,0.8297,0.000450286295546213,0.9608,1.8002626456620977e-07,13
2021/2022,Sabre,Mens,Junior,0.8473,9.138236095350298e-35,0.8518,1.692654327604846e-35,0.955,3.5650016061314957e-65,122
2022/2023,Sabre,Mens,Junior,0.7925,2.8156405669253555e-37,0.7553,4.265464869625559e-32,0.9351,3.064818089615196e-76,167
2023/2024,Sabre,Mens,Junior,0.7569,2.8517362352467527e-27,0.716,2.723930814299106e-23,0.9461,1.8912170164478097e-69,140
2024/2025,Sabre,Mens,Junior,0.8,8.08315555731409e-48,0.7645,2.4701179758224854e-41,0.9283,7.098668922324965e-91,209
2025/2026,Sabre,Mens,Junior,0.8318,5.6691316128869555e-70,0.8084,3.573596946933534e-63,0.9443,1.9671901028605345e-130,268
2014/2015,Sabre,Mens,Senior,0.7542,1.479307956131086e-102,0.7085,2.7285907509188043e-85,0.9617,0.0,552
2015/2016,Sabre,Mens,Senior,0.8268,1.5247864454687181e-148,0.784,1.9436418534456778e-123,0.9585,0.0,588
2016/2017,Sabre,Mens,Senior,0.8245,3.994227863726679e-138,0.7785,2.3315869531308665e-113,0.9535,1.0063006889929163e-288,552
